name,author,style,time,publisher
We Sing. We Dance. We Steal Things.,Jason Mraz,民谣,2008-05-13,Atlantic/WEA
Viva La Vida,Coldplay,摇滚,2008-06-17,Capitol
华丽的冒险,陈绮贞,流行,2005-09-23,艾迴唱片
范特西,周杰伦,流行,2001-09-14,BMG
後。青春期的詩,五月天,摇滚,2008-10-23,相信音樂
是时候,孙燕姿,流行,2011-03-08,美妙音乐
Lenka,Lenka,流行,2008-09-23,Epic
Start from Here,王若琳,爵士,2008-01-11,SONY BMG唱片
旅行的意义,陈绮贞,流行,2004-02-02,cheerego.com
太阳,陈绮贞,流行,2009-01-22,艾迴
Once (Soundtrack),Glen Hansard,原声,2007-05-22,Columbia
Not Going Anywhere,Keren Ann,民谣,2004-08-24,Capitol/Blue Note
American Idiot,Green Day,摇滚,2004-09-21,Wea Japan
思念是一种病,张震岳 Csun Yuk,流行,2007-07-06,滚石唱片
無與倫比的美麗,苏打绿,流行,2007-11-02,林暐哲音乐社
亲爱的...我还不知道,张悬,流行,2007-07-20,新力博德曼音樂娛樂股份有限公司
城市,张悬,流行,2009-05-22,索尼音樂
O,Damien Rice,流行,2003,Vector Recordings
